backend,multiplier,ped_rate,veh_rate,controller,seed,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
surrogate,1.5,0.22499999999999998,0.66,efficiency,301,0.9704433497536946,0.9867109634551495,0.67,41.0,33.0,2428.0,0
surrogate,1.5,0.22499999999999998,0.66,efficiency,302,0.975,0.9898648648648649,0.54,39.0,31.0,2368.0,0
surrogate,1.5,0.22499999999999998,0.66,efficiency,303,0.9714285714285714,0.9862068965517241,0.49,37.0,29.0,2328.0,0
surrogate,1.5,0.22499999999999998,0.66,efficiency,304,0.9617224880382775,0.988673139158576,0.55,38.0,31.0,2492.0,0
surrogate,1.5,0.22499999999999998,0.66,efficiency,305,0.9949238578680203,0.9790575916230366,0.62,42.0,29.0,2292.0,0
surrogate,1.5,0.22499999999999998,0.66,equal_bargaining,301,0.9064039408866995,0.9867109634551495,1.24,93.0,46.0,2448.0,8
surrogate,1.5,0.22499999999999998,0.66,equal_bargaining,302,0.98,0.9831081081081081,1.28,96.0,43.0,2352.0,9
surrogate,1.5,0.22499999999999998,0.66,equal_bargaining,303,0.9476190476190476,0.9896551724137931,0.93,76.0,40.0,2320.0,0
surrogate,1.5,0.22499999999999998,0.66,equal_bargaining,304,0.9808612440191388,0.9530744336569579,1.42,126.0,49.0,2392.0,27
surrogate,1.5,0.22499999999999998,0.66,equal_bargaining,305,0.9796954314720813,0.9842931937172775,1.64,123.0,45.0,2356.0,17
surrogate,1.5,0.22499999999999998,0.66,efpb,301,0.9704433497536946,0.9916943521594684,0.54,51.0,35.0,2432.0,0
surrogate,1.5,0.22499999999999998,0.66,efpb,302,0.97,0.9847972972972973,0.57,51.0,36.0,2372.0,0
surrogate,1.5,0.22499999999999998,0.66,efpb,303,0.9428571428571428,0.9913793103448276,0.54,51.0,34.0,2324.0,0
surrogate,1.5,0.22499999999999998,0.66,efpb,304,0.9712918660287081,0.988673139158576,0.56,49.0,39.0,2452.0,0
surrogate,1.5,0.22499999999999998,0.66,efpb,305,0.9796954314720813,0.987783595113438,0.55,51.0,33.0,2292.0,0
surrogate,2.0,0.3,0.88,fixed_time,301,0.8200692041522492,0.9138149556400507,1.79,165.0,142.0,2988.0,265
surrogate,2.0,0.3,0.88,fixed_time,302,0.8810408921933085,0.9036295369211514,1.6,114.0,131.0,3008.0,237
surrogate,2.0,0.3,0.88,fixed_time,303,0.8639705882352942,0.9329962073324906,1.66,158.0,77.0,3036.0,174
surrogate,2.0,0.3,0.88,fixed_time,304,0.8961538461538462,0.9373433583959899,1.39,124.0,83.0,3072.0,101
surrogate,2.0,0.3,0.88,fixed_time,305,0.8814814814814815,0.9359795134443022,1.23,108.0,94.0,3008.0,40
surrogate,2.0,0.3,0.88,efficiency,301,0.9480968858131488,0.8859315589353612,2.58,75.0,175.0,2844.0,117
surrogate,2.0,0.3,0.88,efficiency,302,0.9516728624535316,0.8961201501877347,2.25,79.0,174.0,2932.0,120
surrogate,2.0,0.3,0.88,efficiency,303,0.9264705882352942,0.9393173198482933,1.34,80.0,108.0,3068.0,55
surrogate,2.0,0.3,0.88,efficiency,304,0.9153846153846154,0.9448621553884712,1.28,87.0,97.0,3108.0,35
surrogate,2.0,0.3,0.88,efficiency,305,0.9518518518518518,0.912932138284251,1.53,77.0,91.0,2944.0,33
surrogate,2.0,0.3,0.88,equal_bargaining,301,0.7162629757785467,0.9480354879594424,3.96,362.0,230.0,3084.0,407
surrogate,2.0,0.3,0.88,equal_bargaining,302,0.9814126394052045,0.8147684605757196,4.06,382.0,163.0,2736.0,298
surrogate,2.0,0.3,0.88,equal_bargaining,303,0.7279411764705882,0.9570164348925411,3.5,330.0,175.0,3056.0,333
surrogate,2.0,0.3,0.88,equal_bargaining,304,0.7769230769230769,0.9611528822055138,3.19,299.0,141.0,3108.0,305
surrogate,2.0,0.3,0.88,equal_bargaining,305,0.9518518518518518,0.8706786171574904,2.98,251.0,136.0,2848.0,230
surrogate,2.0,0.3,0.88,efpb,301,0.5916955017301038,0.9531051964512041,3.82,364.0,56.0,3096.0,216
surrogate,2.0,0.3,0.88,efpb,302,0.5947955390334573,0.9624530663329162,4.21,389.0,58.0,3208.0,206
surrogate,2.0,0.3,0.88,efpb,303,0.6911764705882353,0.9671302149178256,3.15,295.0,59.0,3112.0,163
surrogate,2.0,0.3,0.88,efpb,304,0.7307692307692307,0.9674185463659147,2.73,259.0,59.0,3172.0,153
surrogate,2.0,0.3,0.88,efpb,305,0.7037037037037037,0.967989756722151,2.72,256.0,55.0,3096.0,161
surrogate,2.5,0.375,1.1,fixed_time,301,0.6358543417366946,0.7528089887640449,3.36,313.0,244.0,3120.0,872
