clearance_share,config_id,controller,d_delay_se,d_delay_vs_default,d_maxwait_se,d_maxwait_vs_default,is_default,max_norm_wait,ped_mean_wait_s,person_delay_s,phase_switches,runs,starvation_violations,veh_mean_wait_s,worst_scenario_max_norm_wait,p:controller.debt_eta,p:controller.debt_kappa,p:controller.delta,p:controller.horizon_s,p:controller.switch_cost,p:signal.fixed_cycle_s,p:signal.fixed_timing,p:signal.service_duration_s
0.19416666666666665,efficiency__000,efficiency,0.37510566609321844,0.6861587927044461,0.04573122074996523,0.12974999999999998,False,0.86025,17.2530426227801,17.828207324014258,81.025,40,23.2,18.547944771186515,2.594,,,,30,0,,,15
0.19475,efficiency__001,efficiency,0.1919741605729571,0.2522531342221826,0.021353218396706286,0.057749999999999996,False,0.78825,20.086981402705376,17.394301665531994,81.025,40,11.975,17.251105017510515,2.018,,,,30,0,,,25
0.19502777777777777,efficiency__002,efficiency,0.1354973055459939,0.07042524128152516,0.019461294591560117,0.01875,False,0.74925,21.726335540574087,17.212473772591338,80.975,40,9.0,16.58768654328394,1.706,,,,30,0,,,35
0.19361111111111112,efficiency__003,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,30,5,,,15
0.1948888888888889,efficiency__004,efficiency,0.0,0.0,0.0,0.0,False,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,30,5,,,25
0.19602777777777777,efficiency__005,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,30,5,,,35
0.19361111111111112,efficiency__006,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,30,10,,,15
0.1948888888888889,efficiency__007,efficiency,0.0,0.0,0.0,0.0,False,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,30,10,,,25
0.19602777777777777,efficiency__008,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,30,10,,,35
0.19416666666666665,efficiency__009,efficiency,0.37510566609321844,0.6861587927044461,0.04573122074996523,0.12974999999999998,False,0.86025,17.2530426227801,17.828207324014258,81.025,40,23.2,18.547944771186515,2.594,,,,60,0,,,15
0.19475,efficiency__010,efficiency,0.1919741605729571,0.2522531342221826,0.021353218396706286,0.057749999999999996,False,0.78825,20.086981402705376,17.394301665531994,81.025,40,11.975,17.251105017510515,2.018,,,,60,0,,,25
0.19502777777777777,efficiency__011,efficiency,0.1354973055459939,0.07042524128152516,0.019461294591560117,0.01875,False,0.74925,21.726335540574087,17.212473772591338,80.975,40,9.0,16.58768654328394,1.706,,,,60,0,,,35
0.19361111111111112,efficiency__012,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,60,5,,,15
0.1948888888888889,efficiency__013,efficiency,0.0,0.0,0.0,0.0,True,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,60,5,,,25
0.19602777777777777,efficiency__014,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,60,5,,,35
0.19361111111111112,efficiency__015,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,60,10,,,15
0.1948888888888889,efficiency__016,efficiency,0.0,0.0,0.0,0.0,False,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,60,10,,,25
0.19602777777777777,efficiency__017,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,60,10,,,35
0.19416666666666665,efficiency__018,efficiency,0.37510566609321844,0.6861587927044461,0.04573122074996523,0.12974999999999998,False,0.86025,17.2530426227801,17.828207324014258,81.025,40,23.2,18.547944771186515,2.594,,,,90,0,,,15
0.19475,efficiency__019,efficiency,0.1919741605729571,0.2522531342221826,0.021353218396706286,0.057749999999999996,False,0.78825,20.086981402705376,17.394301665531994,81.025,40,11.975,17.251105017510515,2.018,,,,90,0,,,25
0.19502777777777777,efficiency__020,efficiency,0.1354973055459939,0.07042524128152516,0.019461294591560117,0.01875,False,0.74925,21.726335540574087,17.212473772591338,80.975,40,9.0,16.58768654328394,1.706,,,,90,0,,,35
0.19361111111111112,efficiency__021,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,90,5,,,15
0.1948888888888889,efficiency__022,efficiency,0.0,0.0,0.0,0.0,False,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,90,5,,,25
0.19602777777777777,efficiency__023,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,90,5,,,35
0.19361111111111112,efficiency__024,efficiency,0.20874924725076605,0.28189744535529415,0.02860193197706254,0.06549999999999999,False,0.796,18.09363902531953,17.423945976665106,79.75,40,18.474999999999998,17.87660805660554,2.32,,,,90,10,,,15
0.1948888888888889,efficiency__025,efficiency,0.0,0.0,0.0,0.0,False,0.7305,20.84253043608543,17.14204853130981,79.9,40,9.025,16.795433831427573,1.796,,,,90,10,,,25
0.19602777777777777,efficiency__026,efficiency,0.0969712274375058,0.1393102692290789,0.014638321239744286,-0.029250000000000005,False,0.70125,22.44635149311703,17.281358800538893,80.05,40,9.05,16.547514462470314,1.562,,,,90,10,,,35
0.20391666666666666,efpb__000,efpb,0.0,0.0,0.0,0.0,True,0.8695,36.05059540924287,18.204932811411908,77.275,40,22.475,13.90983047123438,3.326,1.0,2.0,0.05,60,,,,25
0.19822222222222222,efpb__001,efpb,0.4100688935863674,-0.2547569687898861,0.08316769435673556,-0.0685,False,0.801,23.738142397352934,17.950175842622023,75.55,40,10.5,16.922270055233984,1.95,1,4,0.2,30,,,,15
0.1991388888888889,efpb__002,efpb,0.4149173750848251,-0.204392196799403,0.08432871237466649,-0.03325,False,0.8362499999999999,24.920028316591093,18.000540614612504,75.25,40,10.5,16.70862743878753,1.95,2,2,0,30,,,,15
0.2023611111111111,efpb__003,efpb,0.3451025526448009,0.7404640485405676,0.08593392475080446,-0.018750000000000003,False,0.85075,27.466307635067135,18.945396859952474,75.75,40,14.6,17.16870438147867,1.938,1.0,0,0.05,30,,,,25
0.2023888888888889,efpb__004,efpb,0.0921742759410778,-0.11711693064695061,0.006131047511620147,-0.022,False,0.8475,34.893438713673795,18.087815880764957,77.6,40,22.475,14.03565419639936,3.326,1,2,0.2,60,,,,25
0.1995,efpb__005,efpb,0.2576817310385358,-0.3390783948943584,0.06308011542109337,-0.10475,False,0.76475,25.379721972896675,17.86585441651755,77.4,40,17.5,16.335182421154936,2.4299999999999997,2,2,0.1,60,,,,35
0.20080555555555557,efpb__006,efpb,1.984689231711197,4.283103064379608,0.24304040697603538,0.37925,False,1.24875,54.41899553304808,22.488035875791518,79.675,40,29.925,14.074600781234945,7.172,2,2,0.05,90,,,,35
0.2,efpb__007,efpb,0.25755791691105595,-0.5168314469043425,0.061960996313023924,-0.12975,False,0.73975,24.562792496707807,17.688101364507567,77.625,40,17.5,16.31495947542452,2.4299999999999997,1,4,0.2,60,,,,35
0.19455555555555556,efpb__008,efpb,1.5534017461126775,4.943042347201822,0.15912581198052544,0.33525,False,1.20475,32.07297377005741,23.14797515861373,79.1,40,49.099999999999994,21.02741711348458,3.436,1,4,0,90,,,,15
0.19444444444444445,efpb__009,efpb,1.5529385083160117,4.952050907349562,0.15894554381119308,0.33749999999999997,False,1.207,32.00356526397972,23.15698371876147,79.1,40,49.099999999999994,21.041111390722666,3.436,2,2,0.05,90,,,,15
0.202,efpb__010,efpb,0.3096694657521032,0.7969292992140615,0.09322765594679151,-0.06425,False,0.80525,25.95139991245842,19.00186211062597,76.0,40,11.875,17.70722847775569,1.778,1,4,0.1,30,,,,35
0.19441666666666668,efpb__011,efpb,1.5530393731449312,4.950433716388109,0.15894554381119308,0.33749999999999997,False,1.207,31.99492890034336,23.155366527800016,79.125,40,49.099999999999994,21.046167570497946,3.436,2,4,0,90,,,,15
0.2018611111111111,efpb__012,efpb,0.3114292494896237,0.7326466967377636,0.09287390645385817,-0.06925,False,0.80025,25.79207963458083,18.93757950814967,76.0,40,11.875,17.67060498104761,1.778,1,2,0.1,30,,,,35
0.20227777777777778,efpb__013,efpb,0.06151178512632372,0.051122396163149376,0.005346787916650617,0.007250000000000009,False,0.87675,35.74941282427535,18.25605520757506,77.3,40,22.475,14.0352251569672,3.326,2,2,0.1,60,,,,25
0.2008888888888889,efpb__014,efpb,1.985543095336771,4.271801543899453,0.24313866137216053,0.37725,False,1.24675,54.38655701155683,22.47673435531136,79.65,40,29.925,14.053432528116872,7.172,1.0,0,0.2,90,,,,35
0.20274999999999999,efpb__015,efpb,0.34442820211660635,0.6805757189692998,0.08505202028080316,-0.04,False,0.8295,27.7049815490079,18.88550853038121,75.65,40,14.6,17.07995963150867,1.938,1,4,0,30,,,,25
0.20291666666666666,efpb__016,efpb,0.05633658025239487,0.012025437112296488,0.0056770737767503675,0.0032500000000000072,False,0.87275,35.76614151608179,18.216958248524204,77.3,40,22.475,13.986502959753075,3.326,2,4,0.1,60,,,,25
0.19461111111111112,efpb__017,efpb,1.554187497516874,4.935149675939311,0.15900957478024672,0.33649999999999997,False,1.206,31.998388872554173,23.14008248735122,79.075,40,49.099999999999994,21.014878859666766,3.436,1.0,0,0.1,90,,,,15
0.19441666666666668,efpb__018,efpb,1.5530393731449312,4.950433716388109,0.15894554381119308,0.33749999999999997,False,1.207,31.99492890034336,23.155366527800016,79.125,40,49.099999999999994,21.046167570497946,3.436,2,4,0.05,90,,,,15
0.20030555555555557,efpb__019,efpb,0.30519392652188243,0.5942319995515386,0.09165417164257816,-0.099,False,0.7705,24.494858912922645,18.799164810963447,76.45,40,11.875,17.792822919165264,1.778,1,2,0.2,30,,,,35
0.2,efpb__020,efpb,0.30551918623550706,0.7536719323491968,0.09254166594511597,-0.07825,False,0.79125,24.803508513305253,18.958604743761107,76.4,40,11.875,17.9072413290684,1.778,2,2,0.2,30,,,,35
