config_id,controller,scenario_id,seed,person_delay_s,max_norm_wait,starvation_violations,ped_mean_wait_s,veh_mean_wait_s,phase_switches,clearance_share
efficiency__019,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__020,efficiency,K_HH,302,11.11065485195591,0.51,0.0,11.46,11.014336917562725,82.0,0.19777777777777777
efficiency__021,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__022,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__023,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__024,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__025,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__026,efficiency,K_HH,302,11.059217635617031,0.5,0.0,11.56,10.921146953405017,82.0,0.19666666666666666
efficiency__000,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__001,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__002,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__003,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__004,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__005,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__006,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__007,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__008,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__009,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__010,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__011,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__012,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__013,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__014,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__015,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__016,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__017,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__018,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__019,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__020,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__021,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__022,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__023,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__024,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__025,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__026,efficiency,K_HH,303,12.106073040623716,0.55,0.0,13.57,11.728187919463087,82.0,0.19666666666666666
efficiency__000,efficiency,K_HH,304,12.193440031614305,0.61,0.0,13.0,12.009463722397477,80.0,0.2111111111111111
