all_red_s,backend,clearance_steps,controller,experiment_id,jain,mean_wait_disparity,ped_max_wait_s,ped_mean_wait_s,ped_p95_wait_s,ped_service_ratio,ped_throughput_h,phase_switches,requested_p,requested_v,run_id,safety_violations,scenario_id,seed,served_p,served_v,starvation_violations,tail_wait_disparity,veh_max_wait_s,veh_mean_wait_s,veh_p95_wait_s,veh_service_ratio,veh_throughput_h,wall_time_s,yellow_s
1,surrogate,742,efpb,ablations,0.9999995202381254,0.05628148893614868,54.0,14.812775330396477,37.0,0.9978021978021978,454.0,331,455,1397,ablations__A1_efficiency_only__efpb__3007,0,A1_efficiency_only,3007,454,1392,0,0.12,42.0,9.18462643678161,25.0,0.9964209019327129,1392.0,50.34584843599987,3
1,surrogate,743,efpb,ablations,0.9999932207651542,0.04110474589421957,57.0,13.236363636363636,36.0,0.9919839679358717,495.0,329,499,1410,ablations__A1_efficiency_only__efpb__3008,0,A1_efficiency_only,3008,495,1406,0,0.09999999999999998,42.0,9.125889046941678,26.0,0.9971631205673759,1406.0,51.970822886999485,3
1,surrogate,730,efpb,ablations,0.9999937975692818,0.04870866513750982,54.0,14.39186295503212,37.0,0.9936170212765958,467.0,332,470,1407,ablations__A1_efficiency_only__efpb__3009,0,A1_efficiency_only,3009,467,1405,0,0.12,41.0,9.520996441281138,25.0,0.9985785358919688,1405.0,50.7096184560005,3
1,surrogate,748,efpb,ablations,0.9999795986681038,0.04257780835509628,55.0,13.738255033557047,39.0,0.9889380530973452,447.0,329,452,1437,ablations__A1_efficiency_only__efpb__3010,0,A1_efficiency_only,3010,447,1434,0,0.15000000000000002,41.0,9.48047419804742,24.0,0.9979123173277662,1434.0,52.023050531999615,3
1,surrogate,712,efficiency,ablations,0.9999998446584063,0.03308581470718014,53.0,12.783842794759826,33.0,0.9978213507625272,458.0,336,459,1437,ablations__A2_no_starvation__efficiency__3001,0,A2_no_starvation,3001,458,1435,0,0.06,61.0,9.475261324041812,27.0,0.9986082115518441,1435.0,0.7979203969998707,3
1,surrogate,709,efficiency,ablations,0.9999979908836346,0.020843475272973352,62.0,11.915433403805498,32.0,1.0,473.0,336,473,1413,ablations__A2_no_starvation__efficiency__3002,0,A2_no_starvation,3002,473,1409,0,0.06,48.0,9.831085876508162,26.0,0.997169143665959,1409.0,0.8190528670002095,3
1,surrogate,735,efficiency,ablations,0.9999998162340679,0.04659890933878663,66.0,14.402222222222223,36.0,0.9977827050997783,450.0,333,451,1469,ablations__A2_no_starvation__efficiency__3003,0,A2_no_starvation,3003,450,1467,0,0.09999999999999998,51.0,9.742331288343559,26.0,0.998638529611981,1467.0,0.8076436069995907,3
1,surrogate,729,efficiency,ablations,0.9999962655245404,0.03259503996617155,55.0,13.06392694063927,32.0,0.9954545454545455,438.0,335,440,1448,ablations__A2_no_starvation__efficiency__3004,0,A2_no_starvation,3004,438,1447,0,0.06,49.0,9.804422944022114,26.0,0.9993093922651933,1447.0,0.782062025000414,3
1,surrogate,716,efficiency,ablations,0.9999964086497886,0.031894613847344,54.0,12.814732142857142,32.0,0.9933481152993349,448.0,336,451,1389,ablations__A2_no_starvation__efficiency__3005,0,A2_no_starvation,3005,448,1385,0,0.06,50.0,9.625270758122744,26.0,0.9971202303815695,1385.0,1.0704673600002934,3
1,surrogate,719,efficiency,ablations,0.9999902709880082,0.03539550148417575,54.0,13.516806722689076,34.0,0.9916666666666667,476.0,335,480,1410,ablations__A2_no_starvation__efficiency__3006,0,A2_no_starvation,3006,476,1407,0,0.08000000000000002,42.0,9.9772565742715,26.0,0.997872340425532,1407.0,1.1026958290003677,3
1,surrogate,720,efficiency,ablations,0.9999998887228806,0.03185398357425896,60.0,12.71806167400881,34.0,0.9978021978021978,454.0,335,455,1397,ablations__A2_no_starvation__efficiency__3007,0,A2_no_starvation,3007,454,1393,0,0.07,42.0,9.532663316582914,27.0,0.9971367215461704,1393.0,1.0679899010001463,3
1,surrogate,715,efficiency,ablations,0.9999977934693728,0.032919303729529656,66.0,12.927710843373495,36.0,0.9979959919839679,498.0,335,499,1410,ablations__A2_no_starvation__efficiency__3008,0,A2_no_starvation,3008,498,1403,0,0.09999999999999998,54.0,9.635780470420528,26.0,0.9950354609929078,1403.0,1.107526388000224,3
1,surrogate,715,efficiency,ablations,0.9999979808745851,0.030054186817532025,54.0,12.613247863247864,35.0,0.9957446808510638,468.0,336,470,1407,ablations__A2_no_starvation__efficiency__3009,0,A2_no_starvation,3009,468,1405,0,0.08999999999999997,49.0,9.607829181494662,26.0,0.9985785358919688,1405.0,0.7929622410001684,3
1,surrogate,732,efficiency,ablations,0.999997481832699,0.03142720944121637,54.0,12.46325167037862,34.0,0.9933628318584071,449.0,335,452,1437,ablations__A2_no_starvation__efficiency__3010,0,A2_no_starvation,3010,449,1432,0,0.09000000000000002,41.0,9.320530726256983,25.0,0.9965205288796103,1432.0,0.8187388030000875,3
1,surrogate,730,efpb,ablations,0.9999837730178783,0.043203235483179794,53.0,13.830769230769231,36.0,0.9912854030501089,455.0,332,459,1437,ablations__A2_no_starvation__efpb__3001,0,A2_no_starvation,3001,455,1436,0,0.10999999999999999,44.0,9.510445682451254,25.0,0.9993041057759221,1436.0,38.5050959299997,3
1,surrogate,745,efpb,ablations,0.9999998709510043,0.046247413720513414,54.0,13.819915254237289,38.0,0.9978858350951374,472.0,329,473,1413,ablations__A2_no_starvation__efpb__3002,0,A2_no_starvation,3002,472,1409,0,0.13,41.0,9.195173882185948,25.0,0.997169143665959,1409.0,37.00405454100019,3
1,surrogate,744,efpb,ablations,0.9999999357636152,0.057392870686386044,57.0,15.122222222222222,37.0,0.9977827050997783,450.0,328,451,1469,ablations__A2_no_starvation__efpb__3003,0,A2_no_starvation,3003,450,1465,0,0.12,41.0,9.382935153583619,25.0,0.9972770592239619,1465.0,50.44705023200004,3
1,surrogate,757,efpb,ablations,0.9999980869665026,0.06025893981364898,56.0,15.188636363636364,39.0,1.0,440.0,329,440,1448,ablations__A2_no_starvation__efpb__3004,0,A2_no_starvation,3004,440,1444,0,0.14,41.0,9.162742382271468,25.0,0.9972375690607734,1444.0,51.098557887000425,3
1,surrogate,740,efpb,ablations,0.9999953149523296,0.049909207946348816,57.0,14.348115299334811,38.0,1.0,451.0,331,451,1389,ablations__A2_no_starvation__efpb__3005,0,A2_no_starvation,3005,451,1383,0,0.12,41.0,9.357194504699928,26.0,0.9956803455723542,1383.0,52.05469325100057,3
1,surrogate,752,efpb,ablations,0.9999879287770227,0.04866357906799082,54.0,14.258403361344538,34.0,0.9916666666666667,476.0,331,480,1410,ablations__A2_no_starvation__efpb__3006,0,A2_no_starvation,3006,476,1408,0,0.09000000000000002,41.0,9.392045454545455,25.0,0.9985815602836879,1408.0,52.750459902999864,3
1,surrogate,742,efpb,ablations,0.9999995202381254,0.05628148893614868,54.0,14.812775330396477,37.0,0.9978021978021978,454.0,331,455,1397,ablations__A2_no_starvation__efpb__3007,0,A2_no_starvation,3007,454,1392,0,0.12,42.0,9.18462643678161,25.0,0.9964209019327129,1392.0,37.922571348999554,3
1,surrogate,743,efpb,ablations,0.9999932207651542,0.04110474589421957,57.0,13.236363636363636,36.0,0.9919839679358717,495.0,329,499,1410,ablations__A2_no_starvation__efpb__3008,0,A2_no_starvation,3008,495,1406,0,0.09999999999999998,42.0,9.125889046941678,26.0,0.9971631205673759,1406.0,39.06672520699976,3
1,surrogate,730,efpb,ablations,0.9999937975692818,0.04870866513750982,54.0,14.39186295503212,37.0,0.9936170212765958,467.0,332,470,1407,ablations__A2_no_starvation__efpb__3009,0,A2_no_starvation,3009,467,1405,0,0.12,41.0,9.520996441281138,25.0,0.9985785358919688,1405.0,37.2913699110004,3
1,surrogate,748,efpb,ablations,0.9999795986681038,0.04257780835509628,55.0,13.738255033557047,39.0,0.9889380530973452,447.0,329,452,1437,ablations__A2_no_starvation__efpb__3010,0,A2_no_starvation,3010,447,1434,0,0.15000000000000002,41.0,9.48047419804742,24.0,0.9979123173277662,1434.0,37.68030426699988,3
1,surrogate,712,efficiency,ablations,0.9999998446584063,0.03308581470718014,53.0,12.783842794759826,33.0,0.9978213507625272,458.0,336,459,1437,ablations__A3_no_efficiency_filter__efficiency__3001,0,A3_no_efficiency_filter,3001,458,1435,0,0.06,61.0,9.475261324041812,27.0,0.9986082115518441,1435.0,1.0662015959997007,3
1,surrogate,709,efficiency,ablations,0.9999979908836346,0.020843475272973352,62.0,11.915433403805498,32.0,1.0,473.0,336,473,1413,ablations__A3_no_efficiency_filter__efficiency__3002,0,A3_no_efficiency_filter,3002,473,1409,0,0.06,48.0,9.831085876508162,26.0,0.997169143665959,1409.0,1.103364512000553,3
1,surrogate,735,efficiency,ablations,0.9999998162340679,0.04659890933878663,66.0,14.402222222222223,36.0,0.9977827050997783,450.0,333,451,1469,ablations__A3_no_efficiency_filter__efficiency__3003,0,A3_no_efficiency_filter,3003,450,1467,0,0.09999999999999998,51.0,9.742331288343559,26.0,0.998638529611981,1467.0,1.077938618999724,3
1,surrogate,729,efficiency,ablations,0.9999962655245404,0.03259503996617155,55.0,13.06392694063927,32.0,0.9954545454545455,438.0,335,440,1448,ablations__A3_no_efficiency_filter__efficiency__3004,0,A3_no_efficiency_filter,3004,438,1447,0,0.06,49.0,9.804422944022114,26.0,0.9993093922651933,1447.0,1.0684513330006666,3
1,surrogate,716,efficiency,ablations,0.9999964086497886,0.031894613847344,54.0,12.814732142857142,32.0,0.9933481152993349,448.0,336,451,1389,ablations__A3_no_efficiency_filter__efficiency__3005,0,A3_no_efficiency_filter,3005,448,1385,0,0.06,50.0,9.625270758122744,26.0,0.9971202303815695,1385.0,0.8085454860001846,3
1,surrogate,719,efficiency,ablations,0.9999902709880082,0.03539550148417575,54.0,13.516806722689076,34.0,0.9916666666666667,476.0,335,480,1410,ablations__A3_no_efficiency_filter__efficiency__3006,0,A3_no_efficiency_filter,3006,476,1407,0,0.08000000000000002,42.0,9.9772565742715,26.0,0.997872340425532,1407.0,0.8383273509998617,3
1,surrogate,720,efficiency,ablations,0.9999998887228806,0.03185398357425896,60.0,12.71806167400881,34.0,0.9978021978021978,454.0,335,455,1397,ablations__A3_no_efficiency_filter__efficiency__3007,0,A3_no_efficiency_filter,3007,454,1393,0,0.07,42.0,9.532663316582914,27.0,0.9971367215461704,1393.0,0.8030425649994868,3
1,surrogate,715,efficiency,ablations,0.9999977934693728,0.032919303729529656,66.0,12.927710843373495,36.0,0.9979959919839679,498.0,335,499,1410,ablations__A3_no_efficiency_filter__efficiency__3008,0,A3_no_efficiency_filter,3008,498,1403,0,0.09999999999999998,54.0,9.635780470420528,26.0,0.9950354609929078,1403.0,0.7916509249998853,3
1,surrogate,715,efficiency,ablations,0.9999979808745851,0.030054186817532025,54.0,12.613247863247864,35.0,0.9957446808510638,468.0,336,470,1407,ablations__A3_no_efficiency_filter__efficiency__3009,0,A3_no_efficiency_filter,3009,468,1405,0,0.08999999999999997,49.0,9.607829181494662,26.0,0.9985785358919688,1405.0,1.0689953650007737,3
1,surrogate,732,efficiency,ablations,0.999997481832699,0.03142720944121637,54.0,12.46325167037862,34.0,0.9933628318584071,449.0,335,452,1437,ablations__A3_no_efficiency_filter__efficiency__3010,0,A3_no_efficiency_filter,3010,449,1432,0,0.09000000000000002,41.0,9.320530726256983,25.0,0.9965205288796103,1432.0,1.1082470189994638,3
1,surrogate,730,efpb,ablations,0.9999837730178783,0.043203235483179794,53.0,13.830769230769231,36.0,0.9912854030501089,455.0,332,459,1437,ablations__A3_no_efficiency_filter__efpb__3001,0,A3_no_efficiency_filter,3001,455,1436,0,0.10999999999999999,44.0,9.510445682451254,25.0,0.9993041057759221,1436.0,50.05612766000013,3
1,surrogate,745,efpb,ablations,0.9999998709510043,0.046247413720513414,54.0,13.819915254237289,38.0,0.9978858350951374,472.0,329,473,1413,ablations__A3_no_efficiency_filter__efpb__3002,0,A3_no_efficiency_filter,3002,472,1409,0,0.13,41.0,9.195173882185948,25.0,0.997169143665959,1409.0,49.26965244100029,3
1,surrogate,744,efpb,ablations,0.9999999357636152,0.057392870686386044,57.0,15.122222222222222,37.0,0.9977827050997783,450.0,328,451,1469,ablations__A3_no_efficiency_filter__efpb__3003,0,A3_no_efficiency_filter,3003,450,1465,0,0.12,41.0,9.382935153583619,25.0,0.9972770592239619,1465.0,38.256773750999855,3
1,surrogate,757,efpb,ablations,0.9999980869665026,0.06025893981364898,56.0,15.188636363636364,39.0,1.0,440.0,329,440,1448,ablations__A3_no_efficiency_filter__efpb__3004,0,A3_no_efficiency_filter,3004,440,1444,0,0.14,41.0,9.162742382271468,25.0,0.9972375690607734,1444.0,38.41177514699939,3
1,surrogate,740,efpb,ablations,0.9999953149523296,0.049909207946348816,57.0,14.348115299334811,38.0,1.0,451.0,331,451,1389,ablations__A3_no_efficiency_filter__efpb__3005,0,A3_no_efficiency_filter,3005,451,1383,0,0.12,41.0,9.357194504699928,26.0,0.9956803455723542,1383.0,38.074701577999804,3
1,surrogate,752,efpb,ablations,0.9999879287770227,0.04866357906799082,54.0,14.258403361344538,34.0,0.9916666666666667,476.0,331,480,1410,ablations__A3_no_efficiency_filter__efpb__3006,0,A3_no_efficiency_filter,3006,476,1408,0,0.09000000000000002,41.0,9.392045454545455,25.0,0.9985815602836879,1408.0,38.25238299200009,3
1,surrogate,742,efpb,ablations,0.9999995202381254,0.05628148893614868,54.0,14.812775330396477,37.0,0.9978021978021978,454.0,331,455,1397,ablations__A3_no_efficiency_filter__efpb__3007,0,A3_no_efficiency_filter,3007,454,1392,0,0.12,42.0,9.18462643678161,25.0,0.9964209019327129,1392.0,50.073076917000435,3
1,surrogate,743,efpb,ablations,0.9999932207651542,0.04110474589421957,57.0,13.236363636363636,36.0,0.9919839679358717,495.0,329,499,1410,ablations__A3_no_efficiency_filter__efpb__3008,0,A3_no_efficiency_filter,3008,495,1406,0,0.09999999999999998,42.0,9.125889046941678,26.0,0.9971631205673759,1406.0,51.682500327000525,3
1,surrogate,730,efpb,ablations,0.9999937975692818,0.04870866513750982,54.0,14.39186295503212,37.0,0.9936170212765958,467.0,332,470,1407,ablations__A3_no_efficiency_filter__efpb__3009,0,A3_no_efficiency_filter,3009,467,1405,0,0.12,41.0,9.520996441281138,25.0,0.9985785358919688,1405.0,44.426567030000115,3
1,surrogate,748,efpb,ablations,0.9999795986681038,0.04257780835509628,55.0,13.738255033557047,39.0,0.9889380530973452,447.0,329,452,1437,ablations__A3_no_efficiency_filter__efpb__3010,0,A3_no_efficiency_filter,3010,447,1434,0,0.15000000000000002,41.0,9.48047419804742,24.0,0.9979123173277662,1434.0,45.930959229999644,3
1,surrogate,712,efficiency,ablations,0.9999998446584063,0.03308581470718014,53.0,12.783842794759826,33.0,0.9978213507625272,458.0,336,459,1437,ablations__A4_static_weights__efficiency__3001,0,A4_static_weights,3001,458,1435,0,0.06,61.0,9.475261324041812,27.0,0.9986082115518441,1435.0,0.8037095290001162,3
1,surrogate,709,efficiency,ablations,0.9999979908836346,0.020843475272973352,62.0,11.915433403805498,32.0,1.0,473.0,336,473,1413,ablations__A4_static_weights__efficiency__3002,0,A4_static_weights,3002,473,1409,0,0.06,48.0,9.831085876508162,26.0,0.997169143665959,1409.0,0.8115291140002228,3
1,surrogate,735,efficiency,ablations,0.9999998162340679,0.04659890933878663,66.0,14.402222222222223,36.0,0.9977827050997783,450.0,333,451,1469,ablations__A4_static_weights__efficiency__3003,0,A4_static_weights,3003,450,1467,0,0.09999999999999998,51.0,9.742331288343559,26.0,0.998638529611981,1467.0,0.7346146779991614,3
1,surrogate,729,efficiency,ablations,0.9999962655245404,0.03259503996617155,55.0,13.06392694063927,32.0,0.9954545454545455,438.0,335,440,1448,ablations__A4_static_weights__efficiency__3004,0,A4_static_weights,3004,438,1447,0,0.06,49.0,9.804422944022114,26.0,0.9993093922651933,1447.0,0.789274966999983,3
1,surrogate,716,efficiency,ablations,0.9999964086497886,0.031894613847344,54.0,12.814732142857142,32.0,0.9933481152993349,448.0,336,451,1389,ablations__A4_static_weights__efficiency__3005,0,A4_static_weights,3005,448,1385,0,0.06,50.0,9.625270758122744,26.0,0.9971202303815695,1385.0,1.0580068610006492,3
1,surrogate,719,efficiency,ablations,0.9999902709880082,0.03539550148417575,54.0,13.516806722689076,34.0,0.9916666666666667,476.0,335,480,1410,ablations__A4_static_weights__efficiency__3006,0,A4_static_weights,3006,476,1407,0,0.08000000000000002,42.0,9.9772565742715,26.0,0.997872340425532,1407.0,1.096634401999836,3
1,surrogate,720,efficiency,ablations,0.9999998887228806,0.03185398357425896,60.0,12.71806167400881,34.0,0.9978021978021978,454.0,335,455,1397,ablations__A4_static_weights__efficiency__3007,0,A4_static_weights,3007,454,1393,0,0.07,42.0,9.532663316582914,27.0,0.9971367215461704,1393.0,0.9615685449998637,3
1,surrogate,715,efficiency,ablations,0.9999977934693728,0.032919303729529656,66.0,12.927710843373495,36.0,0.9979959919839679,498.0,335,499,1410,ablations__A4_static_weights__efficiency__3008,0,A4_static_weights,3008,498,1403,0,0.09999999999999998,54.0,9.635780470420528,26.0,0.9950354609929078,1403.0,0.9777549749996979,3
1,surrogate,715,efficiency,ablations,0.9999979808745851,0.030054186817532025,54.0,12.613247863247864,35.0,0.9957446808510638,468.0,336,470,1407,ablations__A4_static_weights__efficiency__3009,0,A4_static_weights,3009,468,1405,0,0.08999999999999997,49.0,9.607829181494662,26.0,0.9985785358919688,1405.0,0.7997330429998328,3
1,surrogate,732,efficiency,ablations,0.999997481832699,0.03142720944121637,54.0,12.46325167037862,34.0,0.9933628318584071,449.0,335,452,1437,ablations__A4_static_weights__efficiency__3010,0,A4_static_weights,3010,449,1432,0,0.09000000000000002,41.0,9.320530726256983,25.0,0.9965205288796103,1432.0,0.8045357860000877,3
1,surrogate,730,efpb,ablations,0.9999837730178783,0.043203235483179794,53.0,13.830769230769231,36.0,0.9912854030501089,455.0,332,459,1437,ablations__A4_static_weights__efpb__3001,0,A4_static_weights,3001,455,1436,0,0.10999999999999999,44.0,9.510445682451254,25.0,0.9993041057759221,1436.0,33.83180927400008,3
1,surrogate,745,efpb,ablations,0.9999998709510043,0.046247413720513414,54.0,13.819915254237289,38.0,0.9978858350951374,472.0,329,473,1413,ablations__A4_static_weights__efpb__3002,0,A4_static_weights,3002,472,1409,0,0.13,41.0,9.195173882185948,25.0,0.997169143665959,1409.0,35.365931092999745,3
1,surrogate,744,efpb,ablations,0.9999999357636152,0.057392870686386044,57.0,15.122222222222222,37.0,0.9977827050997783,450.0,328,451,1469,ablations__A4_static_weights__efpb__3003,0,A4_static_weights,3003,450,1465,0,0.12,41.0,9.382935153583619,25.0,0.9972770592239619,1465.0,50.70515600300041,3
1,surrogate,757,efpb,ablations,0.9999980869665026,0.06025893981364898,56.0,15.188636363636364,39.0,1.0,440.0,329,440,1448,ablations__A4_static_weights__efpb__3004,0,A4_static_weights,3004,440,1444,0,0.14,41.0,9.162742382271468,25.0,0.9972375690607734,1444.0,51.23701772000004,3
1,surrogate,740,efpb,ablations,0.9999953149523296,0.049909207946348816,57.0,14.348115299334811,38.0,1.0,451.0,331,451,1389,ablations__A4_static_weights__efpb__3005,0,A4_static_weights,3005,451,1383,0,0.12,41.0,9.357194504699928,26.0,0.9956803455723542,1383.0,44.80042712700015,3
1,surrogate,752,efpb,ablations,0.9999879287770227,0.04866357906799082,54.0,14.258403361344538,34.0,0.9916666666666667,476.0,331,480,1410,ablations__A4_static_weights__efpb__3006,0,A4_static_weights,3006,476,1408,0,0.09000000000000002,41.0,9.392045454545455,25.0,0.9985815602836879,1408.0,46.29795881900009,3
1,surrogate,742,efpb,ablations,0.9999995202381254,0.05628148893614868,54.0,14.812775330396477,37.0,0.9978021978021978,454.0,331,455,1397,ablations__A4_static_weights__efpb__3007,0,A4_static_weights,3007,454,1392,0,0.12,42.0,9.18462643678161,25.0,0.9964209019327129,1392.0,37.78142225800002,3
1,surrogate,743,efpb,ablations,0.9999932207651542,0.04110474589421957,57.0,13.236363636363636,36.0,0.9919839679358717,495.0,329,499,1410,ablations__A4_static_weights__efpb__3008,0,A4_static_weights,3008,495,1406,0,0.09999999999999998,42.0,9.125889046941678,26.0,0.9971631205673759,1406.0,37.974569179000355,3
1,surrogate,730,efpb,ablations,0.9999937975692818,0.04870866513750982,54.0,14.39186295503212,37.0,0.9936170212765958,467.0,332,470,1407,ablations__A4_static_weights__efpb__3009,0,A4_static_weights,3009,467,1405,0,0.12,41.0,9.520996441281138,25.0,0.9985785358919688,1405.0,30.747938002999945,3
