backend,controller,experiment_id,jain,mean_wait_disparity,ped_max_wait_s,ped_mean_wait_s,ped_p95_wait_s,ped_service_ratio,ped_throughput_h,phase_switches,requested_p,requested_v,run_id,safety_violations,scenario_id,seed,served_p,served_v,starvation_violations,tail_wait_disparity,veh_max_wait_s,veh_mean_wait_s,veh_p95_wait_s,veh_service_ratio,veh_throughput_h,wall_time_s
surrogate,efpb,ablations,0.9999983143919835,0.025095716343515637,48.0,8.138832997987928,22.0,0.9959919839679359,497.0,412,499,1410,ablations__A3_no_efficiency_filter__efpb__3008,0,A3_no_efficiency_filter,3008,497,1408,0,0.04000000000000001,32.0,5.629261363636363,18.0,0.9985815602836879,1408.0,44.21312846000001
surrogate,efpb,ablations,0.9999994941413987,0.03331748315287348,39.0,9.37872340425532,24.0,1.0,470.0,416,470,1407,ablations__A3_no_efficiency_filter__efpb__3009,0,A3_no_efficiency_filter,3009,470,1405,0,0.04999999999999999,31.0,6.046975088967971,19.0,0.9985785358919688,1405.0,37.69373053900017
surrogate,efpb,ablations,0.9999956233450773,0.023088161629654366,45.0,8.252212389380531,23.0,1.0,452.0,415,452,1437,ablations__A3_no_efficiency_filter__efpb__3010,0,A3_no_efficiency_filter,3010,452,1431,0,0.04000000000000001,32.0,5.943396226415095,19.0,0.9958246346555324,1431.0,39.73456430799979
surrogate,efficiency,ablations,0.9999952327604702,0.015290044753460047,39.0,7.8512035010940915,21.0,0.9956427015250545,457.0,418,459,1437,ablations__A4_static_weights__efficiency__3001,0,A4_static_weights,3001,457,1437,0,0.01999999999999999,54.0,6.322199025748087,19.0,1.0,1437.0,0.844441332000315
surrogate,efficiency,ablations,0.9999979908836346,0.017539466162107983,63.0,7.86892177589852,20.0,1.0,473.0,417,473,1413,ablations__A4_static_weights__efficiency__3002,0,A4_static_weights,3002,473,1409,0,0.010000000000000009,40.0,6.114975159687722,19.0,0.997169143665959,1409.0,0.8348370020003131
surrogate,efficiency,ablations,0.999999408032119,0.018928095670602482,58.0,8.344444444444445,25.0,0.9977827050997783,450.0,415,451,1469,ablations__A4_static_weights__efficiency__3003,0,A4_static_weights,3003,450,1468,0,0.06,56.0,6.451634877384196,19.0,0.9993192648059904,1468.0,0.6837606979997872
surrogate,efficiency,ablations,0.9999998806828664,0.017615316956712937,45.0,8.172727272727272,24.0,1.0,440.0,417,440,1448,ablations__A4_static_weights__efficiency__3004,0,A4_static_weights,3004,440,1447,0,0.03999999999999998,54.0,6.411195577055978,20.0,0.9993093922651933,1447.0,0.6994442020004499
surrogate,efficiency,ablations,0.9999949106333175,0.011612779581529578,41.0,7.703125,20.0,0.9933481152993349,448.0,417,451,1389,ablations__A4_static_weights__efficiency__3005,0,A4_static_weights,3005,448,1386,0,0.0,42.0,6.541847041847042,20.0,0.9978401727861771,1386.0,1.0869470339994223
surrogate,efficiency,ablations,0.9999879287770227,0.010653528456837286,68.0,7.649159663865547,20.0,0.9916666666666667,476.0,419,480,1410,ablations__A4_static_weights__efficiency__3006,0,A4_static_weights,3006,476,1408,0,0.010000000000000009,48.0,6.583806818181818,19.0,0.9985815602836879,1408.0,1.1014319760006401
surrogate,efficiency,ablations,0.9999994493289286,0.01402553551367658,46.0,7.704845814977974,20.0,0.9978021978021978,454.0,418,455,1397,ablations__A4_static_weights__efficiency__3007,0,A4_static_weights,3007,454,1396,0,0.010000000000000009,59.0,6.302292263610315,19.0,0.9992841803865425,1396.0,0.9638892459997805
