all_red_s,backend,clearance_steps,collisions,config_fingerprint,controller,emergency_stops,fixed_cycle_s,fixed_splits_s,fixed_timing,mean_pedestrian_queue,mean_vehicle_queue,metric_window,pedestrian_phase_steps,pedestrian_served_virtual,pedestrian_unserved,pedestrian_wait_max_s,pedestrian_wait_mean_s,pedestrian_wait_p95_s,phase_switches,run_id,runner_version,scenario_id,scope_warning,seed,steps,sumo_scale,sumo_version,trace_count,vehicle_completed,vehicle_demand,vehicle_rate_per_s,vehicle_stop_time_all_mean_s,vehicle_stop_time_mean_s,vehicle_stopped_wait_max_s,vehicle_stopped_wait_mean_s,vehicle_stopped_wait_p95_s,vehicle_throughput_per_hour,vehicle_trip_time_mean_s,vehicle_unfinished,wall_time_s,yellow_s
1,sumo_traci_virtual_pedestrian,70,0,548c5212552124a9b826b5c72a81974f1858b563ebb30461a2d4ba95432c348c,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.2422222222222223,3.298888888888889,evaluation period only (after warmup_s),170,59,0,73,33.20338983050848,72,30,sumo_actual__S1_balanced__fixed_time__9001,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,16.114832535885167,15.944444444444445,56.0,17.40383365821962,41.0,792.0,48.196969696969695,11,8.494896845999847,3
1,sumo_traci_virtual_pedestrian,70,0,1b5b64a31af7dc5c6659bdbbdda7927b372d38c56ca0f0ef827acc63968bfbb3,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.811111111111111,3.3233333333333333,evaluation period only (after warmup_s),170,71,1,73,34.361111111111114,70,30,sumo_actual__S1_balanced__fixed_time__9002,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,16.39712918660287,16.262626262626263,55.0,17.39904,41.0,792.0,48.601010101010104,11,5.5388816520003274,3
1,sumo_traci_virtual_pedestrian,70,0,5bbfe8ad30c1c37a3672690ccbd3b7abac58751609c0cd724c89010cabc328d8,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.321111111111111,3.121111111111111,evaluation period only (after warmup_s),170,64,0,72,31.78125,64,30,sumo_actual__S1_balanced__fixed_time__9003,0.5.0,S1_balanced,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,15.263157894736842,15.080808080808081,53.0,16.962950138504155,40.0,792.0,47.07575757575758,11,9.361286183000175,3
1,sumo_traci_virtual_pedestrian,70,0,ee1414d50e2793ca042529f7c1241981d2e2e2194dc0b2ec766d4de7e623f365,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,3.7055555555555557,3.298888888888889,evaluation period only (after warmup_s),170,96,0,73,33.739583333333336,70,30,sumo_actual__S2_pedestrian_heavy__fixed_time__9001,0.5.0,S2_pedestrian_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,16.114832535885167,15.944444444444445,56.0,17.40383365821962,41.0,792.0,48.196969696969695,11,4.438258663999932,3
1,sumo_traci_virtual_pedestrian,70,0,e31f8bca3b139175e1f899f69da5711999e577381b7fcd1fa2eecd3de1ea161d,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,4.083333333333333,3.3233333333333333,evaluation period only (after warmup_s),170,102,1,73,34.83495145631068,71,30,sumo_actual__S2_pedestrian_heavy__fixed_time__9002,0.5.0,S2_pedestrian_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,16.39712918660287,16.262626262626263,55.0,17.39904,41.0,792.0,48.601010101010104,11,10.064038642000014,3
1,sumo_traci_virtual_pedestrian,70,0,2e153de2119afbdd2a71178d2b270c4faba2163c6ed02323c28f6eef19acadf4,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,3.9444444444444446,3.121111111111111,evaluation period only (after warmup_s),170,104,0,72,33.22115384615385,67,30,sumo_actual__S2_pedestrian_heavy__fixed_time__9003,0.5.0,S2_pedestrian_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.3894849785407726,SUMO 1.27.1,900,198,M,0.22,15.263157894736842,15.080808080808081,53.0,16.962950138504155,40.0,792.0,47.07575757575758,11,7.401014017999842,3
1,sumo_traci_virtual_pedestrian,70,0,ead778a2564eba0f24d5ecd1ff7af029f6d0b3cec2faf04a5b7a3112f5282bd0,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.2422222222222223,5.605555555555555,evaluation period only (after warmup_s),170,59,0,73,33.20338983050848,72,30,sumo_actual__S3_vehicle_heavy__fixed_time__9001,0.5.0,S3_vehicle_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9001,900,0.6019313304721031,SUMO 1.27.1,900,307,H,0.34,18.284375,18.06840390879479,55.0,17.45556561085973,41.0,1228.0,50.79478827361564,13,7.968093967000186,3
1,sumo_traci_virtual_pedestrian,70,0,a0eb412a9c855d93699fef936b06e7847a34dd5289b564a866297bb885a6fbcf,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.811111111111111,5.535555555555556,evaluation period only (after warmup_s),170,71,1,73,34.361111111111114,70,30,sumo_actual__S3_vehicle_heavy__fixed_time__9002,0.5.0,S3_vehicle_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9002,900,0.6019313304721031,SUMO 1.27.1,900,307,H,0.34,17.909657320872274,17.71986970684039,54.0,17.420800295039648,41.0,1228.0,50.48208469055375,14,11.257764530999793,3
1,sumo_traci_virtual_pedestrian,70,0,5e11528e0135cbb6297301a5f8180acd20c964f8fa9712714520f1281cecb043,fixed_time,0,90,"{""P_ALL"": 20, ""V_EW"": 35, ""V_NS"": 35}",static,2.321111111111111,5.691111111111111,evaluation period only (after warmup_s),170,64,0,72,31.78125,64,30,sumo_actual__S3_vehicle_heavy__fixed_time__9003,0.5.0,S3_vehicle_heavy,Vehicle movement and signal execution are SUMO/TraCI. Pedestrians are virtual queues because the bundled legacy network has no validated pedestrian walking areas; P_ALL is an all-red vehicle interval. Phase changes show signal.yellow_s of yellow and signal.all_red_s of all-red clearance.,9003,900,0.6019313304721031,SUMO 1.27.1,900,305,H,0.34,18.565625,18.21311475409836,54.0,17.476572243007304,42.0,1220.0,50.83934426229508,15,7.069504061999851,3
