clearance_share,collisions,collisions_total,config_id,controller,d_delay_se,d_delay_vs_default,d_maxwait_se,d_maxwait_vs_default,emergency_stops,emergency_stops_total,is_default,max_norm_wait,mean_vehicle_queue,pedestrian_wait_mean_s,person_delay_s,phase_switches,runs,vehicle_stop_time_mean_s,vehicle_stopped_wait_p95_s,worst_scenario_max_norm_wait,p:controller.debt_eta,p:controller.debt_kappa,p:controller.delta,p:controller.horizon_s,p:controller.switch_cost,p:signal.fixed_cycle_s,p:signal.fixed_timing,p:signal.service_duration_s
0.1798095238095238,0.0,0.0,efficiency__000,efficiency,0.31921812165234614,0.4276765864039751,0.0253522601524585,-0.004285714285714289,0.0,0.0,False,0.4997142857142857,9.447015873015873,16.34429684755798,17.361313229127504,70.88571428571429,35,18.173053671754104,23.37142857142857,0.94,,,,30,0,,,15
0.17987301587301588,0.0,0.0,efficiency__001,efficiency,0.20764603008686366,-0.07228890849306158,0.015089488959896166,-0.016857142857142852,0.0,0.0,False,0.48714285714285716,8.29488888888889,19.444250623318496,16.861347734230467,71.02857142857142,35,16.404863363432113,18.82857142857143,0.806,,,,30,0,,,25
0.17993650793650795,0.0,0.0,efficiency__002,efficiency,0.28382595059512666,0.4648603983853832,0.01748084185423497,0.006000000000000002,0.0,0.0,False,0.51,8.366317460317461,20.727677258676618,17.39849704110891,70.97142857142858,35,16.663052423568235,18.857142857142858,0.966,,,,30,0,,,35
0.18015873015873016,0.0,0.0,efficiency__003,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,30,5,,,15
0.18123809523809523,0.0,0.0,efficiency__004,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,False,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,30,5,,,25
0.18155555555555555,0.0,0.0,efficiency__005,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,30,5,,,35
0.18015873015873016,0.0,0.0,efficiency__006,efficiency,0.2353752056555411,0.19580192155259796,0.02085196205944878,0.003714285714285708,0.0,0.0,False,0.5077142857142857,9.363809523809524,16.39654475395955,17.12943856427613,69.2,35,17.812342541443993,23.37142857142857,0.9279999999999999,,,,30,10,,,15
0.18123809523809523,0.0,0.0,efficiency__007,efficiency,0.0,0.0,0.0,0.0,0.0,0.0,False,0.504,8.324126984126984,19.83067124605685,16.933636642723528,69.54285714285714,35,16.36152578019576,19.257142857142856,0.836,,,,30,10,,,25
0.18155555555555555,0.0,0.0,efficiency__008,efficiency,0.219112735103853,0.4771796924310566,0.009854402249628285,0.022000000000000002,0.0,0.0,False,0.526,8.380920634920635,21.23136589616898,17.410816335154585,69.54285714285714,35,16.50502980053626,19.2,0.99,,,,30,10,,,35
0.1798095238095238,0.0,0.0,efficiency__009,efficiency,0.31921812165234614,0.4276765864039751,0.0253522601524585,-0.004285714285714289,0.0,0.0,False,0.4997142857142857,9.447015873015873,16.34429684755798,17.361313229127504,70.88571428571429,35,18.173053671754104,23.37142857142857,0.94,,,,60,0,,,15
