backend,group,scenario,controller,runs,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
sumo,nominal,C_HH,efficiency,10,8.799944025277226,0.523,11.456298993343387,8.153075873863946,0,0,0.9,4.5
sumo,nominal,C_HH,efpb,10,8.669965816638289,0.495,11.320316629511503,8.025572991279796,0,0,0.6,4.5
sumo,nominal,C_HH,equal_bargaining,10,9.012603657493225,0.48600000000000004,6.5219383460267135,9.620131707567532,0,0,0.6,5.9
sumo,nominal,C_HH,fixed_time,10,8.893192715320092,0.27,11.58580285414699,8.23281943887871,0,0,0.6,4.9
sumo,nominal,C_HL,efficiency,10,4.9294246506775306,0.449,4.318601333266171,5.433149171270719,0,0,0,0.8
sumo,nominal,C_HL,efpb,10,4.706578360035065,0.379,4.629791857922438,4.7720994475138125,0,0,0,0.9
sumo,nominal,C_HL,equal_bargaining,10,4.711124964887244,0.416,5.109468905524932,4.383149171270718,0,0,0,0.1
sumo,nominal,C_HL,fixed_time,10,9.207361537800498,0.27,11.58580285414699,7.230110497237569,0,0,0.6,0
sumo,nominal,C_HM,efficiency,10,7.882330787026453,0.411,8.246523165216445,7.746639221127188,0,0,1.1,8.1
sumo,nominal,C_HM,efpb,10,7.6795032895047,0.375,8.39729833565213,7.414171390199823,0,0,0.9,9.1
sumo,nominal,C_HM,equal_bargaining,10,8.115873662186118,0.388,7.197349325709034,8.46418957880892,0,0,0.7,8.7
sumo,nominal,C_HM,fixed_time,10,8.672461245828893,0.27,11.58580285414699,7.574504096960701,0,0,0.6,9.6
sumo,nominal,C_LH,efficiency,10,6.935487473657695,0.6859999999999999,15.053554722963488,6.411065749208585,0,0,0.3,4.2
sumo,nominal,C_LH,efpb,10,6.876290992989275,0.538,15.281619577510265,6.332323600099791,0,0,0.4,4.5
sumo,nominal,C_LH,equal_bargaining,10,7.394953511551613,0.458,6.883218561624838,7.431528790024431,0,0,0.2,5.9
sumo,nominal,C_LH,fixed_time,10,8.381275992102337,0.269,10.658556185558677,8.23281943887871,0,0,0.1,4.9
sumo,nominal,C_LL,efficiency,10,4.023875791122687,0.375,5.077784611998369,3.8,0,0,0,0.1
sumo,nominal,C_LL,efpb,10,3.953842686594503,0.362,5.197794875450566,3.6881215469613258,0,0,0,0
sumo,nominal,C_LL,equal_bargaining,10,4.0424253405107216,0.34400000000000003,4.589040647074744,3.9287292817679558,0,0,0,0.3
sumo,nominal,C_LL,fixed_time,10,7.849934605240024,0.269,10.658556185558677,7.230110497237569,0,0,0.1,0
sumo,nominal,C_LM,efficiency,10,5.537509041171657,0.355,8.623722943850373,5.228496017283117,0,0,0.1,5.1
sumo,nominal,C_LM,efpb,10,5.399769174255035,0.348,8.605468780132709,5.079548288092112,0,0,0.1,5.9
sumo,nominal,C_LM,equal_bargaining,10,5.697283925321734,0.353,6.622619701078574,5.607557774249368,0,0,0,6.2
sumo,nominal,C_LM,fixed_time,10,7.8544091416170945,0.269,10.658556185558677,7.574504096960701,0,0,0.1,9.6
sumo,nominal,C_MH,efficiency,10,8.14315049611485,0.628,12.539460479153437,7.455990215136358,0,0,0.5,4.8
sumo,nominal,C_MH,efpb,10,8.05903657478585,0.52,12.331244998579683,7.393072994490084,0,0,0.3,3.4
sumo,nominal,C_MH,equal_bargaining,10,8.670795380980374,0.48,6.490495383070481,9.014626132808813,0,0,0.6,5
sumo,nominal,C_MH,fixed_time,10,8.64461314547599,0.27,11.273009127634952,8.23281943887871,0,0,0.5,4.9
sumo,nominal,C_ML,efficiency,10,4.7301095069532275,0.389,4.624907215792451,4.787845303867403,0,0,0.1,0.2
sumo,nominal,C_ML,efpb,10,4.590903142145764,0.348,4.776843032705097,4.4980662983425415,0,0,0.1,0.4
sumo,nominal,C_ML,equal_bargaining,10,4.662295088791623,0.40599999999999997,4.456089901657479,4.771270718232044,0,0,0.1,0.4
sumo,nominal,C_ML,fixed_time,10,8.633235444643985,0.27,11.273009127634952,7.230110497237569,0,0,0.5,0
sumo,nominal,C_MM,efficiency,10,7.061430605388227,0.387,8.178592615301037,6.793651232953777,0,0,0.4,8.9
sumo,nominal,C_MM,efpb,10,6.892504852316174,0.362,8.168716890554798,6.585121288936264,0,0,0.5,8.6
sumo,nominal,C_MM,equal_bargaining,10,7.789714579311545,0.437,5.911095836909351,8.242443203711145,0,0,0.7,8.9
sumo,nominal,C_MM,fixed_time,10,8.292335746223689,0.27,11.273009127634952,7.574504096960701,0,0,0.5,9.6
sumo,stress,T_HS,efficiency,10,24.6879508787291,1.262,39.16267139424104,22.83233229375507,0,0,5,33.8
sumo,stress,T_HS,efpb,10,26.78986412699664,0.568,27.375983148158905,26.715438183004807,0,0,2.4,37.1
sumo,stress,T_HS,equal_bargaining,10,67.7370244637796,8.059,242.52813872229217,39.993062287077976,0,0,64.6,42.1
sumo,stress,T_HS,fixed_time,10,38.55175022519734,0.414,11.58580285414699,42.352630995092525,0,0,0.6,46.8
sumo,stress,T_OO,efficiency,10,97.49186452470231,4.849,57.73129198988229,451.53750699319204,0,0,17.7,73
sumo,stress,T_OO,efpb,10,97.98743658947244,4.5809999999999995,28.95994855062373,464.2540930329631,0,0,9.1,76.1
sumo,stress,T_OO,equal_bargaining,10,740.8880526791665,36.849000000000004,1805.283860361054,819.6160531064884,0,0,1072.9,50.1
sumo,stress,T_OO,fixed_time,10,108.28854773383298,4.448,244.48366827415438,57.290766560613264,0,0,120.8,66
sumo,stress,T_SH,efficiency,10,9.52875080520061,0.463,9.926455921463106,9.330031614011238,0,0,2.5,5.9
sumo,stress,T_SH,efpb,10,9.435137560881833,0.445,10.369072847524457,8.967238360021884,0,0,2.2,5
sumo,stress,T_SH,equal_bargaining,10,9.453380068750874,0.493,8.219942477700634,10.077538829262288,0,0,1.6,7.4
sumo,stress,T_SH,fixed_time,10,11.006857364277554,0.535,16.4763472080726,8.23281943887871,0,0,3.4,4.9
sumo,stress,T_SS,efficiency,10,32.517715756463474,0.846,31.74017585355633,32.7420864225598,0,0,7.2,40.4
sumo,stress,T_SS,efpb,10,33.605652258351626,0.576,27.441797079083997,35.3751285506788,0,0,7.1,40.3
sumo,stress,T_SS,equal_bargaining,10,537.4427410851445,26.759,1173.9510077030777,429.20194827840925,0,0,557.6,45
