backend,group,controller,cells,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio
surrogate,nominal,fixed_time,9,12.340030201265847,0.3007037037037037,10.948054818433668,12.65556848483192,0,0.9983847555718679,0.9969917061285725
surrogate,nominal,efficiency,9,9.920738733226637,0.7047407407407408,12.25752285440071,10.00530164159798,0.17037037037037037,0.9965920474658039,0.9973935064983143
surrogate,nominal,equal_bargaining,9,10.110886963152977,0.5673703703703704,8.948303412031605,10.503141174162177,0.003703703703703704,0.9976669312541601,0.9974092966083257
surrogate,nominal,efpb,9,9.92113811986877,0.5150370370370371,13.216718897462885,9.614187394896511,0,0.9964954545712466,0.997475724021201
surrogate,robustness,fixed_time,8,12.694777746486766,0.333875,11.392480316043066,12.987923092939006,0,0.9978823617465348,0.9959128493314175
surrogate,robustness,efficiency,8,11.04401254039819,0.586875,12.442740211784908,10.786106008239772,0.0125,0.9955307998028042,0.9966076941583467
surrogate,robustness,equal_bargaining,8,11.422138734842369,0.612125,10.918354569100973,11.51903200344283,0.27499999999999997,0.9965487855902063,0.9962831288720387
surrogate,robustness,efpb,8,11.225378366306781,0.50075,14.227889967678554,10.56816677980819,0,0.9953481607766841,0.9965275276178233
surrogate,stress,fixed_time,4,44.50266489718423,1.5538333333333334,72.90334458886463,36.6994285269748,575.0583333333333,0.9697669970357173,0.9864889803052307
surrogate,stress,efficiency,4,36.06744355429827,1.54875,29.38823648318757,38.24456670144712,290.0416666666667,0.9915980660199345,0.9859094877746283
surrogate,stress,equal_bargaining,4,67.07510805882451,6.093166666666667,235.70069042940457,23.24662152511778,361.5916666666667,0.8550864184509175,0.9945052509482704
surrogate,stress,efpb,4,45.629826625681844,1.87225,34.27660046887812,48.889647896457504,396.4916666666667,0.9887023234423511,0.9800983527108725
surrogate,all,fixed_time,21,18.60138825581065,0.552031746031746,22.918367345224098,17.36196262928088,109.53492063492062,0.992742365821998,0.9945801938585436
surrogate,all,efficiency,21,15.328977292353255,0.8206031746031747,15.591074919839807,15.681658554575641,55.32380952380953,0.995236528080686,0.9949067172785769
surrogate,all,equal_bargaining,21,21.46073927535304,1.636952380952381,52.88972995136717,13.317476795022541,68.98095238095239,0.970082778086322,0.9964271287735391
surrogate,all,efpb,21,17.219646500571454,0.7681111111111111,17.61333293781461,17.45864820849353,75.52222222222223,0.9945739843392427,0.9938045308560421
