backend,group,controller,cells,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
sumo,nominal,fixed_time,9,8.492091063805844,0.26966666666666667,11.172456055780206,7.679144677692327,0,0,0.4,4.833333333333333
sumo,nominal,efficiency,9,6.449251375265506,0.46699999999999997,8.679938453431685,6.201101420523455,0,0,0.37777777777777777,4.0777777777777775
sumo,nominal,equal_bargaining,9,6.677452234559356,0.4186666666666667,5.9757018454084605,6.829291817604547,0,0,0.3222222222222222,4.6
sumo,nominal,efpb,9,6.314266098807184,0.4141111111111111,8.745454997557687,5.976455316212839,0,0,0.32222222222222224,4.144444444444445
sumo,stress,fixed_time,4,48.58801783877867,1.4835,72.25554138611164,37.55721199741926,0,0,32.05,41.125
sumo,stress,efficiency,4,41.056570491273874,1.855,34.64014878978569,129.11048933087955,0,0,8.1,38.275
sumo,stress,equal_bargaining,4,338.88029957421037,18.04,807.4957373160311,324.7221506253095,0,0,424.175,36.15
sumo,stress,efpb,4,41.954522633925635,1.5424999999999998,23.536700406347773,133.82797453166714,0,0,5.2,39.625
sumo,all,fixed_time,13,20.82929930225902,0.6431538461538462,29.96725154203603,16.872396160685227,0,0,10.138461538461538,16.0
sumo,all,efficiency,13,17.097657257114236,0.8940769230769231,16.66769548000215,44.01937462370994,0,0,2.753846153846154,14.6
sumo,all,equal_bargaining,13,108.89371295445197,5.8406153846153845,252.59725122098467,104.64247914305221,0,0,130.73846153846154,14.307692307692308
sumo,all,efpb,13,17.28049887884363,0.7613076923076922,13.29660743103156,45.31538430558339,0,0,1.823076923076923,15.061538461538461
