backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
SUMO,nominal,C_LL,equal_bargaining,4010,4.006937218175511,0.23,4.773584905660377,3.834254143646409,0,0,0,3
SUMO,stress,T_OO,efpb,4006,59.07396465039133,0.6,28.547486033519554,70.84780578898226,0,0,1,66
SUMO,nominal,C_MM,equal_bargaining,4009,7.8189768593762095,0.44,5.984375,8.272271016311167,0,0,1,7
SUMO,nominal,C_ML,fixed_time,4005,8.674851820491108,0.27,11.626050420168067,7.18232044198895,0,0,0,0
SUMO,nominal,C_MM,efpb,4005,7.2635707561970495,0.38,8.779166666666667,6.9120603015075375,0,0,0,6
SUMO,stress,T_OO,equal_bargaining,4007,420.91574713611857,36.0,1766.2242647058824,21.086292613636363,0,0,1088,39
SUMO,nominal,C_HL,efficiency,4003,5.099821149116924,0.49,4.502358490566038,5.638121546961326,0,0,0,1
SUMO,nominal,C_HH,efpb,4001,8.51017174401963,0.44,11.902777777777779,7.745114006514658,0,0,0,4
SUMO,nominal,C_LH,efpb,4003,7.3693357438619005,0.51,14.512820512820513,6.846216436126933,0,0,0,4
SUMO,nominal,C_LM,efpb,4010,5.07576417312549,0.34,8.0,4.775280898876405,0,0,0,10
SUMO,nominal,C_LL,efpb,4008,3.943476775956284,0.38,4.356521739130435,3.842541436464088,0,0,0,0
SUMO,nominal,C_MM,equal_bargaining,4001,8.165304692972216,0.47,6.680497925311204,8.508094645080947,0,0,1,10
SUMO,nominal,C_ML,equal_bargaining,4009,5.099229287090559,0.42,4.5859375,5.378453038674033,0,0,0,0
SUMO,nominal,C_HH,fixed_time,4009,8.808588648920141,0.27,10.604591836734693,8.36829268292683,0,0,1,5
SUMO,nominal,C_LM,efpb,4006,5.517511080212046,0.29,9.098214285714286,5.131414267834794,0,0,0,10
SUMO,nominal,C_MM,fixed_time,4002,8.096819567086035,0.27,10.817427385892117,7.46558197747184,0,0,0,9
SUMO,stress,T_SS,equal_bargaining,4010,1661.2046515972354,34.61,1647.3523255813955,1717.7716049382716,0,0,794,80
SUMO,nominal,C_LL,efficiency,4002,3.729522792022792,0.36,4.945054945054945,3.494475138121547,0,0,0,0
SUMO,nominal,C_HL,efficiency,4008,4.613588606117208,0.46,3.873056994818653,5.220994475138122,0,0,0,0
SUMO,nominal,C_HM,fixed_time,4008,8.744062215371681,0.27,11.593264248704664,7.687890137328339,0,0,0,10
SUMO,nominal,C_HL,efpb,4007,4.468203497615263,0.35,4.304878048780488,4.610497237569061,0,0,0,0
SUMO,stress,T_HS,efficiency,4003,24.86433197684416,1.15,39.943396226415096,22.778625954198475,0,0,5,33
SUMO,nominal,C_HL,efficiency,4001,4.958222971346015,0.47,4.177777777777778,5.55524861878453,0,0,0,0
SUMO,stress,T_SH,efficiency,4010,9.677527116756712,0.46,9.546553808948005,9.745321399511798,0,0,0,6
SUMO,nominal,C_HM,efficiency,4004,7.312522399827969,0.43,8.03342618384401,7.0627352572145545,0,0,0,5
SUMO,nominal,C_LM,efpb,4009,5.19840354767184,0.34,8.22340425531915,4.923270440251573,0,0,0,2
SUMO,nominal,C_LH,efpb,4004,7.126114876917589,0.53,16.25,6.622349102773247,0,0,0,5
SUMO,nominal,C_ML,fixed_time,4003,8.876663118680149,0.27,11.441281138790035,7.345303867403315,0,0,0,0
SUMO,nominal,C_ML,efpb,4008,4.198316312448247,0.3,4.366141732283465,4.107734806629834,0,0,0,0
SUMO,nominal,C_LL,efficiency,4003,3.9921715452688904,0.46,4.538461538461538,3.856353591160221,0,0,0,0
SUMO,stress,T_OO,equal_bargaining,4005,424.5103893355904,35.97,1823.6198113207547,19.967021276595744,0,0,1060,38
SUMO,nominal,C_HL,efficiency,4007,4.940040881217352,0.36,4.509756097560976,5.314917127071824,0,0,0,0
SUMO,nominal,C_HH,fixed_time,4006,8.984375,0.27,11.924675324675325,8.276422764227643,0,0,1,5
SUMO,nominal,C_HH,equal_bargaining,4004,9.154986454020346,0.45,6.879213483146067,9.661251015434607,0,0,2,9
SUMO,nominal,C_ML,fixed_time,4009,8.454720616570329,0.27,10.5703125,7.303867403314917,0,0,1,0
SUMO,stress,T_SS,fixed_time,4004,39.80693777167696,0.37,12.95125164690382,47.25213675213675,0,0,3,50
SUMO,stress,T_HS,equal_bargaining,4005,42.37898005213978,6.95,171.2715736040609,25.562634524321997,0,0,33,33
SUMO,stress,T_SH,equal_bargaining,4005,9.331297645621866,0.47,8.299741602067183,9.830219333874899,0,0,0,8
SUMO,stress,T_SH,efpb,4002,9.333040825707242,0.44,10.161654135338345,8.918500407497962,0,0,2,4
SUMO,nominal,C_LL,equal_bargaining,4002,3.7058404558404554,0.34,4.527472527472527,3.546961325966851,0,0,0,0
SUMO,nominal,C_LM,fixed_time,4001,8.000957104324371,0.27,11.175925925925926,7.6716604244694135,0,0,0,10
SUMO,nominal,C_LM,fixed_time,4005,7.825575221238938,0.27,11.11111111111111,7.54125,0,0,0,10
SUMO,stress,T_SS,equal_bargaining,4008,1757.9138458501925,35.0,1642.5634638196916,2328.908396946565,0,0,765,87
SUMO,nominal,C_HH,fixed_time,4010,9.145464574036003,0.27,12.616751269035532,8.290820471161657,0,0,1,5
SUMO,nominal,C_HH,efpb,4008,9.030034267284822,0.51,11.123711340206185,8.521172638436482,0,0,0,3
SUMO,nominal,C_MM,efficiency,4002,6.964126959369882,0.38,7.5103734439834025,6.837702871410737,0,0,1,10
